,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
294,westport,69,US,1614827461,67,41.1415,-73.3579,39.99,6.71
295,portland,0,US,1614827743,73,45.5234,-122.6762,52.0,1.01
296,marawi,0,PH,1614827744,80,7.9986,124.2928,82.0,5.01
297,lufkin,1,US,1614827670,81,31.3382,-94.7291,48.2,3.44
298,dalianwan,0,CN,1614827660,71,39.0286,121.695,46.4,8.95
299,tyret pervaya,56,RU,1614827748,85,53.6703,102.3106,-8.57,3.18
300,torbay,90,CA,1614827749,93,47.6666,-52.7314,24.01,21.85
301,broome,75,US,1614827750,75,42.2506,-75.833,35.01,8.05
302,zhezkazgan,90,KZ,1614827751,93,47.8043,67.7144,21.2,8.95
303,vanavara,3,RU,1614827753,84,60.34,102.2797,-18.8,4.05
304,ust-maya,100,RU,1614827754,85,60.4167,134.5333,-16.96,6.85
305,pecos,1,US,1614827755,21,31.4229,-103.4932,57.2,8.05
306,sabya,20,SA,1614827757,83,17.1495,42.6254,75.2,4.61
307,shitanjing,3,CN,1614827759,19,39.2342,106.3439,44.78,12.57
308,cape coast,7,GH,1614827760,89,5.1053,-1.2466,79.72,12.41
309,umm lajj,0,SA,1614827761,61,25.0213,37.2685,66.36,11.7
310,manadhoo,5,MV,1614827762,67,5.7667,73.3833,81.84,16.75
311,poso,100,ID,1614827763,76,-1.3959,120.7524,79.27,0.89
312,mbour,0,SN,1614827765,56,14.422,-16.9638,69.8,23.02
313,port lincoln,0,AU,1614827766,60,-34.7333,135.8667,67.01,13.38
314,romny,7,UA,1614827767,90,50.751,33.4747,27.75,10.85
315,prince rupert,90,CA,1614827704,87,54.3161,-130.3201,41.0,14.97
316,puerto escondido,1,MX,1614827534,83,15.85,-97.0667,78.8,4.92
317,nemuro,20,JP,1614827771,60,43.3236,145.575,33.8,18.41
318,tucupita,18,VE,1614827772,98,9.0622,-62.051,70.81,2.77
319,manta,75,EC,1614827519,78,-0.95,-80.7333,80.6,2.3
320,kenai,1,US,1614827492,79,60.5544,-151.2583,24.8,3.44
321,alofi,40,NU,1614827556,74,-19.0595,-169.9187,84.2,3.44
322,teguldet,100,RU,1614827777,87,57.3064,88.1667,13.26,11.59
323,opuwo,34,NA,1614827778,58,-18.0607,13.84,64.56,3.65
324,sao sebastiao,100,BR,1614827780,73,-23.76,-45.4097,76.3,2.86
325,dunbar,1,US,1614827781,56,38.3606,-81.7374,42.8,4.61
326,auki,90,SB,1614827782,82,-8.7676,160.7034,81.43,9.91
327,bansi,0,IN,1614827784,27,27.1833,82.9333,69.31,2.8
328,rabo de peixe,75,PT,1614827785,100,37.8,-25.5833,59.0,13.8
329,iwanai,8,JP,1614827786,74,42.9744,140.5089,38.01,7.43
330,sainte-anne-des-monts,84,CA,1614827787,67,49.124,-66.4924,15.8,28.77
331,souillac,75,MU,1614827789,94,-20.5167,57.5167,75.2,2.3
332,cururupu,7,BR,1614827790,95,-1.8283,-44.8683,73.6,2.59
333,twentynine palms,90,US,1614827791,50,34.1356,-116.0542,52.0,8.05
334,tezu,95,IN,1614827792,21,27.9167,96.1667,82.69,1.66
335,igrim,93,RU,1614827793,96,63.1906,64.4162,7.84,5.26
336,havelock,1,US,1614827795,93,34.8791,-76.9013,45.0,3.44
337,imatra,0,FI,1614827796,89,61.1719,28.7524,24.01,3.0
338,zhigansk,100,RU,1614827653,82,66.7697,123.3711,-30.03,10.45
339,karasjok,75,NO,1614827798,80,69.4719,25.5112,23.0,16.11
340,waw,12,SS,1614827799,20,7.7029,27.9953,72.36,6.08
341,sabha,0,LY,1614827801,43,27.0377,14.4283,53.85,17.47
342,erenhot,33,CN,1614827802,50,43.6475,111.9767,34.86,8.5
343,bambanglipuro,100,ID,1614827803,69,-7.95,110.2833,84.29,2.17
344,plerin,52,FR,1614827804,96,48.5425,-2.7798,46.99,1.99
345,niquelandia,100,BR,1614827806,87,-14.4739,-48.4597,69.96,1.63
346,saint-philippe,0,RE,1614827807,65,-21.3585,55.7679,80.6,4.61
347,guanica,0,PR,1614827808,79,17.9716,-66.908,73.99,1.99
348,polovinnoye,100,RU,1614827809,99,54.7914,65.9864,26.4,8.68
349,la orilla,0,MX,1614827810,82,17.9833,-102.2333,71.85,1.28
350,meadow lake,40,US,1614827765,15,34.8014,-106.5436,54.0,9.22
351,mersing,40,MY,1614827813,79,2.4312,103.8405,86.0,8.05
352,vao,99,NC,1614827814,84,-22.6667,167.4833,79.14,7.85
353,ataco,46,CO,1614827815,68,3.5915,-75.3818,73.0,3.4
354,chambar,0,PK,1614827817,18,25.2931,68.812,76.21,8.28
355,coquimbo,90,CL,1614827673,82,-29.9533,-71.3436,62.6,3.44
356,luorong,91,CN,1614827819,76,24.4058,109.6086,59.02,2.75
357,shingu,75,JP,1614827699,44,33.7333,135.9833,60.8,16.11
358,katsuura,75,JP,1614827821,58,35.1333,140.3,55.99,11.5
359,saint george,1,US,1614827704,14,37.1041,-113.5841,61.0,13.8
360,sobolevo,38,RU,1614827824,96,54.4299,31.8996,28.96,11.92
361,brigantine,1,US,1614827825,64,39.4101,-74.3646,42.01,11.7
362,hasaki,75,JP,1614827827,58,35.7333,140.8333,55.99,8.05
363,coihaique,20,CL,1614827828,76,-45.5752,-72.0662,55.4,4.61
364,fairview,90,US,1614827829,42,40.8126,-73.999,46.4,5.3
